Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:36:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:36:24        all      1.01      0.00     18.18     30.30      0.00     50.51
05:36:25        all      2.03      0.00     19.80     27.41      0.00     50.76
05:36:26        all      2.04      0.00     21.94     25.00      0.00     51.02
05:36:27        all      2.55      0.00     18.37     28.57      0.00     50.51
05:36:28        all      1.53      0.00     13.78     35.20      0.00     49.49
05:36:29        all      1.55      0.00     10.36     36.27      0.00     51.81
05:36:30        all      1.00      0.00     14.50     34.50      0.00     50.00
05:36:31        all      1.54      0.00     21.54     27.18      0.51     49.23
05:36:32        all      1.52      0.00     23.23     30.30      0.00     44.95
05:36:33        all      1.13      0.00     20.90     33.90      0.00     44.07
05:36:34        all      2.16      0.00     20.54     42.16      0.00     35.14
05:36:35        all      1.52      0.00     24.75     27.27      0.00     46.46
