Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:36:23    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:36:24            0         0      0.00         0      0.00
05:36:25            0         0      0.00         0      0.00
05:36:26            0         0      0.00         0      0.00
05:36:27            0         0      0.00         0      0.00
05:36:28            0         0      0.00         0      0.00
05:36:29            0         0      0.00         0      0.00
05:36:30            0         0      0.00         0      0.00
05:36:31            0         0      0.00         0      0.00
05:36:32            0         0      0.00         0      0.00
05:36:33            0         0      0.00         0      0.00
05:36:34            0         0      0.00         0      0.00
05:36:35            0         0      0.00         0      0.00
