Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:37:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:37:12        all      2.01      0.00      1.01      1.01      0.00     95.98
05:37:13        all      1.01      0.00      3.52      0.00      0.00     95.48
05:37:14        all      2.00      0.00      4.50      0.00      0.00     93.50
05:37:15        all      2.04      0.00      3.06      0.00      0.00     94.90
05:37:16        all      1.02      0.00      3.55      0.00      0.00     95.43
05:37:17        all      2.54      0.00      3.55      0.00      0.00     93.91
05:37:18        all      2.50      0.00      4.50      0.00      0.00     93.00
05:37:19        all      1.04      0.00      2.07      0.00      0.00     96.89
05:37:20        all      3.02      0.00      4.02      0.00      0.00     92.96
05:37:21        all      3.05      0.00      3.05      0.00      0.00     93.91
05:37:22        all      0.52      0.00      3.11      0.00      0.00     96.37
05:37:23        all      1.50      0.00      4.00      0.00      0.50     94.00
05:37:24        all      0.52      0.00      2.59      0.00      0.00     96.89
05:37:25        all      1.52      0.00      3.54      0.00      0.00     94.95
05:37:26        all      1.99      0.00      3.98      4.48      0.00     89.55
05:37:27        all      1.98      0.00      4.95     21.78      0.00     71.29
05:37:28        all      1.98      0.00      4.95      0.00      0.00     93.07
05:37:29        all      1.53      0.00      3.06     13.78      0.00     81.63
05:37:30        all      2.02      0.00      6.06     47.98      0.00     43.94
05:37:31        all      1.52      0.00      6.06     47.98      0.51     43.94
05:37:32        all      3.00      0.00      4.50     36.00      0.00     56.50
05:37:33        all      1.03      0.00      2.58      0.00      0.00     96.39
05:37:34        all      3.47      0.00      3.96      0.00      0.00     92.57
05:37:35        all      1.03      0.00      4.10      0.00      0.00     94.87
05:37:36        all      1.52      0.00      2.02      0.00      0.00     96.46
05:37:37        all      1.02      0.00      3.06      0.00      0.51     95.41
05:37:38        all      2.00      0.00      4.50      0.00      0.00     93.50
05:37:39        all      2.51      0.00      3.52      0.00      0.00     93.97
05:37:40        all      2.48      0.00      4.95      0.00      0.00     92.57
05:37:41        all      1.55      0.00      2.07      0.00      0.00     96.37
05:37:42        all      1.99      0.00      4.98      0.00      0.00     93.03
05:37:43        all      2.53      0.00      4.04      0.00      0.00     93.43
05:37:44        all      2.51      0.00      3.52      0.00      0.00     93.97
05:37:45        all      1.52      0.00      5.05      0.00      0.00     93.43
05:37:46        all      1.53      0.00      4.59     20.41      0.51     72.96
05:37:47        all      1.50      0.00      6.00      6.50      0.00     86.00
05:37:48        all      1.52      0.00      4.04      0.00      0.00     94.44
05:37:49        all      2.97      0.00      6.44     30.69      0.00     59.90
05:37:50        all      2.04      0.00      6.12     48.47      0.00     43.37
05:37:51        all      2.00      0.00      7.50     48.00      0.00     42.50
05:37:52        all      2.55      0.00      4.08      9.18      0.00     84.18
05:37:53        all      2.53      0.00      3.54      0.00      0.00     93.94
05:37:54        all      3.00      0.00      3.50      0.00      0.00     93.50
05:37:55        all      4.02      0.00      3.02      0.00      0.50     92.46
05:37:56        all      2.01      0.00      4.52      0.00      0.00     93.47
05:37:57        all      1.52      0.00      4.57      0.00      0.00     93.91
05:37:58        all      1.01      0.00      2.02      0.00      0.00     96.97
05:37:59        all      2.53      0.00      4.04      0.00      0.00     93.43
05:38:00        all      2.50      0.00      4.00      0.00      0.00     93.50
05:38:01        all      2.54      0.00      4.06      0.00      0.00     93.40
05:38:02        all      1.49      0.00      5.47      0.50      0.00     92.54
05:38:03        all      2.05      0.00      3.08      0.00      0.00     94.87
05:38:04        all      2.07      0.00      3.11      0.00      0.00     94.82
