Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:37:11    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:37:12            0         0      0.00         0      0.00
05:37:13            0         0      0.00         0      0.00
05:37:14            0         0      0.00         0      0.00
05:37:15            0         0      0.00         0      0.00
05:37:16            0         0      0.00         0      0.00
05:37:17            0         0      0.00         0      0.00
05:37:18            0         0      0.00         0      0.00
05:37:19            0         0      0.00         0      0.00
05:37:20            0         0      0.00         0      0.00
05:37:21            0         0      0.00         0      0.00
05:37:22            0         0      0.00         0      0.00
05:37:23            0         0      0.00         0      0.00
05:37:24            0         0      0.00         0      0.00
05:37:25            0         0      0.00         0      0.00
05:37:26            0         0      0.00         0      0.00
05:37:27            0         0      0.00         0      0.00
05:37:28            0         0      0.00         0      0.00
05:37:29            0         0      0.00         0      0.00
05:37:30            0         0      0.00         0      0.00
05:37:31            0         0      0.00         0      0.00
05:37:32            0         0      0.00         0      0.00
05:37:33            0         0      0.00         0      0.00
05:37:34            0         0      0.00         0      0.00
05:37:35            0         0      0.00         0      0.00
05:37:36            0         0      0.00         0      0.00
05:37:37            0         0      0.00         0      0.00
05:37:38            0         0      0.00         0      0.00
05:37:39            0         0      0.00         0      0.00
05:37:40            0         0      0.00         0      0.00
05:37:41            0         0      0.00         0      0.00
05:37:42            0         0      0.00         0      0.00
05:37:43            0         0      0.00         0      0.00
05:37:44            0         0      0.00         0      0.00
05:37:45            0         0      0.00         0      0.00
05:37:46            0         0      0.00         0      0.00
05:37:47            0         0      0.00         0      0.00
05:37:48            0         0      0.00         0      0.00
05:37:49            0         0      0.00         0      0.00
05:37:50            0         0      0.00         0      0.00
05:37:51            0         0      0.00         0      0.00
05:37:52            0         0      0.00         0      0.00
05:37:53            0         0      0.00         0      0.00
05:37:54            0         0      0.00         0      0.00
05:37:55            0         0      0.00         0      0.00
05:37:56            0         0      0.00         0      0.00
05:37:57            0         0      0.00         0      0.00
05:37:58            0         0      0.00         0      0.00
05:37:59            0         0      0.00         0      0.00
05:38:00            0         0      0.00         0      0.00
05:38:01            0         0      0.00         0      0.00
05:38:02            0         0      0.00         0      0.00
05:38:03            0         0      0.00         0      0.00
05:38:04            0         0      0.00         0      0.00
