Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:36:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:36:47        all      2.94      0.00     20.10     28.43      0.00     48.53
05:36:48        all      1.50      0.00     16.50     32.00      0.00     50.00
05:36:49        all      1.51      0.00     20.10     31.16      0.00     47.24
05:36:50        all      1.51      0.00     18.59     29.65      0.00     50.25
05:36:51        all      3.05      0.00     27.41     41.62      0.00     27.92
05:36:52        all      0.00      0.00     12.04     85.86      0.00      2.09
05:36:53        all      0.52      0.00     12.95     79.79      0.52      6.22
05:36:54        all      1.06      0.00     12.77     76.06      0.00     10.11
05:36:55        all      0.53      0.00     13.30     79.26      0.00      6.91
05:36:56        all      0.53      0.00     13.16     36.84      0.00     49.47
05:36:57        all      0.52      0.00     11.86     53.61      0.00     34.02
05:36:58        all      0.00      0.00     11.98     47.92      0.00     40.10
