Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:36:46    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:36:47            0         0      0.00         0      0.00
05:36:48            0         0      0.00         0      0.00
05:36:49            0         0      0.00         0      0.00
05:36:50            0         0      0.00         0      0.00
05:36:51            0         0      0.00         0      0.00
05:36:52            0         0      0.00         0      0.00
05:36:53            0         0      0.00         0      0.00
05:36:54            0         0      0.00         0      0.00
05:36:55            0         0      0.00         0      0.00
05:36:56            0         0      0.00         0      0.00
05:36:57            0         0      0.00         0      0.00
05:36:58            0         0      0.00         0      0.00
