Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:35:40        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:35:41        all      1.99      0.00     49.75     32.84      0.00     15.42
05:35:42        all      0.55      0.00     16.48     77.47      0.00      5.49
05:35:43        all      1.09      0.00     13.66     72.68      0.00     12.57
05:35:44        all      0.54      0.00     12.97     45.41      0.00     41.08
05:35:45        all      0.53      0.00     18.09     63.83      0.00     17.55
05:35:46        all      0.00      0.00     11.76     71.66      0.00     16.58
05:35:47        all      0.54      0.00     11.83     66.13      0.00     21.51
05:35:48        all      0.54      0.00     10.75     88.71      0.00      0.00
05:35:49        all      0.00      0.00     10.81     80.00      0.00      9.19
05:35:50        all      0.00      0.00     10.81     89.19      0.00      0.00
05:35:51        all      0.51      0.00     12.63     71.21      0.51     15.15
