Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:35:40    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:35:41            0         0      0.00         0      0.00
05:35:42            0         0      0.00         0      0.00
05:35:43            0         0      0.00         0      0.00
05:35:44            0         0      0.00         0      0.00
05:35:45            0         0      0.00         0      0.00
05:35:46            0         0      0.00         0      0.00
05:35:47            0         0      0.00         0      0.00
05:35:48            0         0      0.00         0      0.00
05:35:49            0         0      0.00         0      0.00
05:35:50            0         0      0.00         0      0.00
05:35:51            0         0      0.00         0      0.00
