Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:38:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:38:59        all     43.78      0.00      5.97      0.50      0.00     49.75
05:39:00        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:01        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:02        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:03        all     49.25      0.00      0.50      0.50      0.00     49.75
05:39:04        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:05        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:06        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:07        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:08        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:09        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:10        all     49.75      0.00      0.00      0.00      0.50     49.75
05:39:11        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:12        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:13        all     49.75      0.00      0.00      0.00      0.00     50.25
05:39:14        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:15        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:16        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:17        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:18        all     49.75      0.00      1.00      0.00      0.00     49.25
05:39:19        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:20        all     49.50      0.00      0.50      0.00      0.00     50.00
05:39:21        all     49.75      0.00      0.50      0.00      0.00     49.75
05:39:22        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:23        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:24        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:25        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:26        all     49.75      0.00      0.50      0.00      0.00     49.75
05:39:27        all     49.75      0.00      0.50      0.00      0.00     49.75
05:39:28        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:29        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:30        all     49.75      0.00      0.00      0.00      0.00     50.25
05:39:31        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:32        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:33        all     49.75      0.00      0.00      0.00      0.00     50.25
05:39:34        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:35        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:36        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:37        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:38        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:39        all     49.75      0.00      0.00      0.50      0.00     49.75
05:39:40        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:41        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:42        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:43        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:44        all     49.25      0.00      1.00      0.00      0.00     49.75
05:39:45        all     50.25      0.00      0.00      0.00      0.00     49.75
05:39:46        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:47        all     50.00      0.00      0.00      0.00      0.00     50.00
05:39:48        all     50.00      0.00      0.00      0.00      0.00     50.00
