Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:38:58    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:38:59            0         0      0.00         0      0.00
05:39:00            0         0      0.00         0      0.00
05:39:01            0         0      0.00         0      0.00
05:39:02            0         0      0.00         0      0.00
05:39:03            0         0      0.00         0      0.00
05:39:04            0         0      0.00         0      0.00
05:39:05            0         0      0.00         0      0.00
05:39:06            0         0      0.00         0      0.00
05:39:07            0         0      0.00         0      0.00
05:39:08            0         0      0.00         0      0.00
05:39:09            0         0      0.00         0      0.00
05:39:10            0         0      0.00         0      0.00
05:39:11            0         0      0.00         0      0.00
05:39:12            0         0      0.00         0      0.00
05:39:13            0         0      0.00         0      0.00
05:39:14            0         0      0.00         0      0.00
05:39:15            0         0      0.00         0      0.00
05:39:16            0         0      0.00         0      0.00
05:39:17            0         0      0.00         0      0.00
05:39:18            0         0      0.00         0      0.00
05:39:19            0         0      0.00         0      0.00
05:39:20            0         0      0.00         0      0.00
05:39:21            0         0      0.00         0      0.00
05:39:22            0         0      0.00         0      0.00
05:39:23            0         0      0.00         0      0.00
05:39:24            0         0      0.00         0      0.00
05:39:25            0         0      0.00         0      0.00
05:39:26            0         0      0.00         0      0.00
05:39:27            0         0      0.00         0      0.00
05:39:28            0         0      0.00         0      0.00
05:39:29            0         0      0.00         0      0.00
05:39:30            0         0      0.00         0      0.00
05:39:31            0         0      0.00         0      0.00
05:39:32            0         0      0.00         0      0.00
05:39:33            0         0      0.00         0      0.00
05:39:34            0         0      0.00         0      0.00
05:39:35            0         0      0.00         0      0.00
05:39:36            0         0      0.00         0      0.00
05:39:37            0         0      0.00         0      0.00
05:39:38            0         0      0.00         0      0.00
05:39:39            0         0      0.00         0      0.00
05:39:40            0         0      0.00         0      0.00
05:39:41            0         0      0.00         0      0.00
05:39:42            0         0      0.00         0      0.00
05:39:43            0         0      0.00         0      0.00
05:39:44            0         0      0.00         0      0.00
05:39:45            0         0      0.00         0      0.00
05:39:46            0         0      0.00         0      0.00
05:39:47            0         0      0.00         0      0.00
05:39:48            0         0      0.00         0      0.00
