Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:30:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:30:27        all      2.00      0.00     28.00     70.00      0.00      0.00
08:30:28        all      0.00      0.00     35.00     65.00      0.00      0.00
08:30:29        all      2.00      0.00     24.00     74.00      0.00      0.00
08:30:30        all      0.00      0.00     12.24     87.76      0.00      0.00
08:30:31        all      0.00      0.00     18.81     81.19      0.00      0.00
08:30:32        all      0.98      0.00     21.57     77.45      0.00      0.00
08:30:33        all      1.02      0.00     12.24     86.73      0.00      0.00
08:30:34        all      0.00      0.00     27.18     72.82      0.00      0.00
08:30:35        all      0.96      0.00     31.73     67.31      0.00      0.00
08:30:36        all      1.01      0.00     26.26     72.73      0.00      0.00
08:30:37        all      0.00      0.00     27.45     72.55      0.00      0.00
