Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:30:26    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
08:30:27            0         0      0.00         0      0.00
08:30:28            0         0      0.00         0      0.00
08:30:29            0         0      0.00         0      0.00
08:30:30            0         0      0.00         0      0.00
08:30:31            0         0      0.00         0      0.00
08:30:32            0         0      0.00         0      0.00
08:30:33            0         0      0.00         0      0.00
08:30:34            0         0      0.00         0      0.00
08:30:35            0         0      0.00         0      0.00
08:30:36            0         0      0.00         0      0.00
08:30:37            0         0      0.00         0      0.00
