Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:31:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:31:14        all      2.00      0.00      1.00      2.00      0.00     95.00
08:31:15        all      1.96      0.00      7.84      0.00      0.00     90.20
08:31:16        all      4.04      0.00      4.04      0.00      0.00     91.92
08:31:17        all      3.88      0.00      7.77      0.00      0.00     88.35
08:31:18        all      1.03      0.00      7.22      1.03      0.00     90.72
08:31:19        all      1.03      0.00      6.19      0.00      0.00     92.78
08:31:20        all      2.00      0.00      7.00      0.00      0.00     91.00
08:31:21        all      2.11      0.00      3.16      0.00      0.00     94.74
08:31:22        all      2.02      0.00      6.06      0.00      0.00     91.92
08:31:23        all      4.00      0.00      5.00      0.00      0.00     91.00
08:31:24        all      2.97      0.00      6.93      0.00      0.00     90.10
08:31:25        all      1.03      0.00      5.15      0.00      0.00     93.81
08:31:26        all      3.09      0.00      2.06      0.00      0.00     94.85
08:31:27        all      4.00      0.00      4.00      0.00      0.00     92.00
08:31:28        all      3.00      0.00      7.00      0.00      0.00     90.00
08:31:29        all      5.00      0.00      6.00     54.00      0.00     35.00
08:31:30        all      3.12      0.00      3.12      0.00      0.00     93.75
08:31:31        all      2.04      0.00      5.10     16.33      0.00     76.53
08:31:32        all      0.00      0.00     10.20     89.80      0.00      0.00
08:31:33        all      3.96      0.00      7.92     88.12      0.00      0.00
08:31:34        all      3.00      0.00      8.00     73.00      0.00     16.00
08:31:35        all      2.06      0.00      5.15      0.00      0.00     92.78
08:31:36        all      1.02      0.00      6.12      0.00      0.00     92.86
08:31:37        all      2.04      0.00      5.10      0.00      0.00     92.86
08:31:38        all      3.09      0.00      4.12      0.00      0.00     92.78
08:31:39        all      3.03      0.00      6.06      0.00      0.00     90.91
08:31:40        all      4.00      0.00      5.00      0.00      0.00     91.00
08:31:41        all      2.02      0.00      6.06      0.00      0.00     91.92
08:31:42        all      2.04      0.00      6.12      0.00      0.00     91.84
08:31:43        all      1.04      0.00      4.17      0.00      0.00     94.79
08:31:44        all      1.00      0.00      8.00      0.00      0.00     91.00
08:31:45        all      1.02      0.00      3.06      0.00      0.00     95.92
08:31:46        all      2.11      0.00      3.16      0.00      0.00     94.74
08:31:47        all      2.97      0.00      6.93      0.00      0.00     90.10
08:31:48        all      4.08      0.00      4.08     45.92      0.00     45.92
08:31:49        all      2.06      0.00      5.15      5.15      0.00     87.63
08:31:50        all      3.03      0.00      5.05      0.00      0.00     91.92
08:31:51        all      1.03      0.00      7.22     65.98      0.00     25.77
08:31:52        all      2.97      0.00      8.91     88.12      0.00      0.00
08:31:53        all      3.03      0.00      8.08     88.89      0.00      0.00
08:31:54        all      2.97      0.00      5.94     11.88      0.00     79.21
08:31:55        all      3.00      0.00      6.00      0.00      0.00     91.00
08:31:56        all      4.00      0.00      6.00      0.00      0.00     90.00
08:31:57        all      1.98      0.00      7.92      0.00      0.00     90.10
08:31:58        all      1.98      0.00      8.91      0.00      0.00     89.11
08:31:59        all      2.04      0.00      5.10      0.00      0.00     92.86
08:32:00        all      2.00      0.00      7.00      0.00      0.00     91.00
08:32:01        all      1.02      0.00      4.08      0.00      0.00     94.90
08:32:02        all      3.06      0.00      5.10      0.00      0.00     91.84
08:32:03        all      3.03      0.00      5.05      0.00      0.00     91.92
08:32:04        all      3.09      0.00      5.15      0.00      0.00     91.75
08:32:05        all      3.00      0.00      6.00      0.00      0.00     91.00
08:32:06        all      3.09      0.00      4.12      0.00      0.00     92.78
