Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:31:13    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
08:31:14            0         0      0.00         0      0.00
08:31:15            0         0      0.00         0      0.00
08:31:16            0         0      0.00         0      0.00
08:31:17            0         0      0.00         0      0.00
08:31:18            0         0      0.00         0      0.00
08:31:19            0         0      0.00         0      0.00
08:31:20            0         0      0.00         0      0.00
08:31:21            0         0      0.00         0      0.00
08:31:22            0         0      0.00         0      0.00
08:31:23            0         0      0.00         0      0.00
08:31:24            0         0      0.00         0      0.00
08:31:25            0         0      0.00         0      0.00
08:31:26            0         0      0.00         0      0.00
08:31:27            0         0      0.00         0      0.00
08:31:28            0         0      0.00         0      0.00
08:31:29            0         0      0.00         0      0.00
08:31:30            0         0      0.00         0      0.00
08:31:31            0         0      0.00         0      0.00
08:31:32            0         0      0.00         0      0.00
08:31:33            0         0      0.00         0      0.00
08:31:34            0         0      0.00         0      0.00
08:31:35            0         0      0.00         0      0.00
08:31:36            0         0      0.00         0      0.00
08:31:37            0         0      0.00         0      0.00
08:31:38            0         0      0.00         0      0.00
08:31:39            0         0      0.00         0      0.00
08:31:40            0         0      0.00         0      0.00
08:31:41            0         0      0.00         0      0.00
08:31:42            0         0      0.00         0      0.00
08:31:43            0         0      0.00         0      0.00
08:31:44            0         0      0.00         0      0.00
08:31:45            0         0      0.00         0      0.00
08:31:46            0         0      0.00         0      0.00
08:31:47            0         0      0.00         0      0.00
08:31:48            0         0      0.00         0      0.00
08:31:49            0         0      0.00         0      0.00
08:31:50            0         0      0.00         0      0.00
08:31:51            0         0      0.00         0      0.00
08:31:52            0         0      0.00         0      0.00
08:31:53            0         0      0.00         0      0.00
08:31:54            0         0      0.00         0      0.00
08:31:55            0         0      0.00         0      0.00
08:31:56            0         0      0.00         0      0.00
08:31:57            0         0      0.00         0      0.00
08:31:58            0         0      0.00         0      0.00
08:31:59            0         0      0.00         0      0.00
08:32:00            0         0      0.00         0      0.00
08:32:01            0         0      0.00         0      0.00
08:32:02            0         0      0.00         0      0.00
08:32:03            0         0      0.00         0      0.00
08:32:04            0         0      0.00         0      0.00
08:32:05            0         0      0.00         0      0.00
08:32:06            0         0      0.00         0      0.00
