Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:30:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:30:49        all      1.04      0.00     18.75     80.21      0.00      0.00
08:30:50        all      0.00      0.00     21.57     78.43      0.00      0.00
08:30:51        all      0.00      0.00     21.00     79.00      0.00      0.00
08:30:52        all      2.02      0.00     20.20     77.78      0.00      0.00
08:30:53        all      0.00      0.00     31.91     68.09      0.00      0.00
08:30:54        all      0.00      0.00      5.68     94.32      0.00      0.00
08:30:55        all      0.00      0.00     10.99     89.01      0.00      0.00
08:30:56        all      0.00      0.00      6.90     93.10      0.00      0.00
08:30:57        all      1.11      0.00      8.89     90.00      0.00      0.00
08:30:58        all      0.00      0.00     11.96     88.04      0.00      0.00
08:30:59        all      0.00      0.00     11.11     88.89      0.00      0.00
08:31:00        all      0.00      0.00     12.77     87.23      0.00      0.00
