Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:30:48    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
08:30:49            0         0      0.00         0      0.00
08:30:50            0         0      0.00         0      0.00
08:30:51            0         0      0.00         0      0.00
08:30:52            0         0      0.00         0      0.00
08:30:53            0         0      0.00         0      0.00
08:30:54            0         0      0.00         0      0.00
08:30:55            0         0      0.00         0      0.00
08:30:56            0         0      0.00         0      0.00
08:30:57            0         0      0.00         0      0.00
08:30:58            0         0      0.00         0      0.00
08:30:59            0         0      0.00         0      0.00
08:31:00            0         0      0.00         0      0.00
