Process-Name,Time-Taken,Avg-CPU-usage,Agv-Memory-usage,Avg-Swap-usage
'Read_Write', '10.406830072402954', '0.5589999999999999', '3.189'
'copy_test', '10.417763233184814', '0.11000000000000001', '3.15'
'Compression', '11.739262819290161', '0.7245454545454545', '3.1681818181818175'
'Extraction', '12.210311889648438', '0.3475', '3.125833333333333'
'Hashing', '3.4912214279174805', '95.33333333333333', '3.33'
'Encryption', '6.181345224380493', '15.829999999999998', '3.3233333333333337'
'Decryption', '5.737817287445068', '14.728', '3.064'
'Sorting', '42.58933782577515', '99.64357142857145', '8.354999999999999'
'Random_Algorithm', '7.2683024406433105', '99.85714285714286', '3.8099999999999996'
'Integer_Test', '27.7302303314209', '99.58851851851851', '3.779629629629629'
'Float_Test', '4.708279609680176', '94.515', '15.66'
