Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:29:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:29:45        all      3.33      0.00     43.33     53.33      0.00      0.00
08:29:46        all      1.14      0.00      6.82     92.05      0.00      0.00
08:29:47        all      0.00      0.00      4.55     95.45      0.00      0.00
08:29:48        all      0.00      0.00      8.60     91.40      0.00      0.00
08:29:49        all      0.00      0.00      4.49     95.51      0.00      0.00
08:29:50        all      0.00      0.00      3.41     96.59      0.00      0.00
08:29:51        all      0.00      0.00      5.56     94.44      0.00      0.00
08:29:52        all      0.00      0.00      4.49     95.51      0.00      0.00
08:29:53        all      0.00      0.00      6.52     93.48      0.00      0.00
08:29:54        all      1.12      0.00      4.49     94.38      0.00      0.00
