Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:29:44    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
08:29:45            0         0      0.00         0      0.00
08:29:46            0         0      0.00         0      0.00
08:29:47            0         0      0.00         0      0.00
08:29:48            0         0      0.00         0      0.00
08:29:49            0         0      0.00         0      0.00
08:29:50            0         0      0.00         0      0.00
08:29:51            0         0      0.00         0      0.00
08:29:52            0         0      0.00         0      0.00
08:29:53            0         0      0.00         0      0.00
08:29:54            0         0      0.00         0      0.00
