Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:32:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:32:59        all     91.00      0.00      9.00      0.00      0.00      0.00
08:33:00        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:01        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:02        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:03        all     99.01      0.00      0.99      0.00      0.00      0.00
08:33:04        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:05        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:06        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:07        all     99.00      0.00      1.00      0.00      0.00      0.00
08:33:08        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:09        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:10        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:11        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:12        all     99.01      0.00      0.99      0.00      0.00      0.00
08:33:13        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:14        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:15        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:16        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:17        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:18        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:19        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:20        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:21        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:22        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:23        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:24        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:25        all     99.01      0.00      0.99      0.00      0.00      0.00
08:33:26        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:27        all     99.00      0.00      1.00      0.00      0.00      0.00
08:33:28        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:29        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:30        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:31        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:32        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:33        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:34        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:35        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:36        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:37        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:38        all     99.00      0.00      1.00      0.00      0.00      0.00
08:33:39        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:40        all    100.00      0.00      0.00      0.00      0.00      0.00
