Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:32:58    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
08:32:59            0         0      0.00         0      0.00
08:33:00            0         0      0.00         0      0.00
08:33:01            0         0      0.00         0      0.00
08:33:02            0         0      0.00         0      0.00
08:33:03            0         0      0.00         0      0.00
08:33:04            0         0      0.00         0      0.00
08:33:05            0         0      0.00         0      0.00
08:33:06            0         0      0.00         0      0.00
08:33:07            0         0      0.00         0      0.00
08:33:08            0         0      0.00         0      0.00
08:33:09            0         0      0.00         0      0.00
08:33:10            0         0      0.00         0      0.00
08:33:11            0         0      0.00         0      0.00
08:33:12            0         0      0.00         0      0.00
08:33:13            0         0      0.00         0      0.00
08:33:14            0         0      0.00         0      0.00
08:33:15            0         0      0.00         0      0.00
08:33:16            0         0      0.00         0      0.00
08:33:17            0         0      0.00         0      0.00
08:33:18            0         0      0.00         0      0.00
08:33:19            0         0      0.00         0      0.00
08:33:20            0         0      0.00         0      0.00
08:33:21            0         0      0.00         0      0.00
08:33:22            0         0      0.00         0      0.00
08:33:23            0         0      0.00         0      0.00
08:33:24            0         0      0.00         0      0.00
08:33:25            0         0      0.00         0      0.00
08:33:26            0         0      0.00         0      0.00
08:33:27            0         0      0.00         0      0.00
08:33:28            0         0      0.00         0      0.00
08:33:29            0         0      0.00         0      0.00
08:33:30            0         0      0.00         0      0.00
08:33:31            0         0      0.00         0      0.00
08:33:32            0         0      0.00         0      0.00
08:33:33            0         0      0.00         0      0.00
08:33:34            0         0      0.00         0      0.00
08:33:35            0         0      0.00         0      0.00
08:33:36            0         0      0.00         0      0.00
08:33:37            0         0      0.00         0      0.00
08:33:38            0         0      0.00         0      0.00
08:33:39            0         0      0.00         0      0.00
08:33:40            0         0      0.00         0      0.00
