Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:05:33        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:05:34        all      1.98      0.00     26.73     71.29      0.00      0.00
17:05:35        all      1.01      0.00     25.25     73.74      0.00      0.00
17:05:36        all      0.99      0.00     19.80     79.21      0.00      0.00
17:05:37        all      0.00      0.00     14.43     85.57      0.00      0.00
17:05:38        all      1.05      0.00      8.42     90.53      0.00      0.00
17:05:39        all      1.03      0.00     11.34     87.63      0.00      0.00
17:05:40        all      0.00      0.00     11.58     88.42      0.00      0.00
17:05:41        all      0.00      0.00     19.39     80.61      0.00      0.00
17:05:42        all      0.99      0.00     20.79     78.22      0.00      0.00
17:05:43        all      0.00      0.00     25.93     74.07      0.00      0.00
