Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:05:33    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
17:05:34            0         0      0.00         0      0.00
17:05:35            0         0      0.00         0      0.00
17:05:36            0         0      0.00         0      0.00
17:05:37            0         0      0.00         0      0.00
17:05:38            0         0      0.00         0      0.00
17:05:39            0         0      0.00         0      0.00
17:05:40            0         0      0.00         0      0.00
17:05:41            0         0      0.00         0      0.00
17:05:42            0         0      0.00         0      0.00
17:05:43            0         0      0.00         0      0.00
