Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:06:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:06:19        all      5.10      0.00      3.06      1.02      0.00     90.82
17:06:20        all      5.10      0.00      8.16      0.00      0.00     86.73
17:06:21        all      3.03      0.00     12.12      0.00      0.00     84.85
17:06:22        all      5.10      0.00      8.16      0.00      0.00     86.73
17:06:23        all      4.08      0.00      9.18      0.00      0.00     86.73
17:06:24        all      3.06      0.00     10.20     26.53      0.00     60.20
17:06:25        all      5.32      0.00     12.77     21.28      0.00     60.64
17:06:26        all     10.47      0.00     22.09     36.05      0.00     31.40
17:06:27        all      7.45      0.00      8.51     11.70      0.00     72.34
17:06:28        all      4.08      0.00     10.20     17.35      0.00     68.37
17:06:29        all      3.23      0.00      6.45     31.18      0.00     59.14
17:06:30        all      4.17      0.00     16.67     70.83      0.00      8.33
17:06:31        all      5.21      0.00      8.33     86.46      0.00      0.00
17:06:32        all      4.35      0.00      6.52     71.74      0.00     17.39
17:06:33        all      3.12      0.00      8.33      0.00      0.00     88.54
17:06:34        all      2.08      0.00      6.25      0.00      0.00     91.67
17:06:35        all      2.11      0.00      9.47      0.00      0.00     88.42
17:06:36        all      6.06      0.00     11.11     35.35      0.00     47.47
17:06:37        all      5.10      0.00     11.22     83.67      0.00      0.00
17:06:38        all      4.26      0.00      8.51     87.23      0.00      0.00
