Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:06:18    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
17:06:19            0         0      0.00         0      0.00
17:06:20            0         0      0.00         0      0.00
17:06:21            0         0      0.00         0      0.00
17:06:22            0         0      0.00         0      0.00
17:06:23            0         0      0.00         0      0.00
17:06:24            0         0      0.00         0      0.00
17:06:25            0         0      0.00         0      0.00
17:06:26            0         0      0.00         0      0.00
17:06:27            0         0      0.00         0      0.00
17:06:28            0         0      0.00         0      0.00
17:06:29            0         0      0.00         0      0.00
17:06:30            0         0      0.00         0      0.00
17:06:31            0         0      0.00         0      0.00
17:06:32            0         0      0.00         0      0.00
17:06:33            0         0      0.00         0      0.00
17:06:34            0         0      0.00         0      0.00
17:06:35            0         0      0.00         0      0.00
17:06:36            0         0      0.00         0      0.00
17:06:37            0         0      0.00         0      0.00
17:06:38            0         0      0.00         0      0.00
