Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:05:54        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:05:55        all      0.00      0.00     16.84     83.16      0.00      0.00
17:05:56        all      0.00      0.00     15.15     84.85      0.00      0.00
17:05:57        all      1.02      0.00     17.35     81.63      0.00      0.00
17:05:58        all      1.03      0.00     17.53     81.44      0.00      0.00
17:05:59        all      0.00      0.00     16.85     83.15      0.00      0.00
17:06:00        all      0.00      0.00      5.49     94.51      0.00      0.00
17:06:01        all      0.00      0.00      3.37     96.63      0.00      0.00
17:06:02        all      0.00      0.00      7.61     92.39      0.00      0.00
17:06:03        all      0.00      0.00      6.45     93.55      0.00      0.00
17:06:04        all      0.00      0.00      3.33     96.67      0.00      0.00
17:06:05        all      0.00      0.00      6.52     93.48      0.00      0.00
17:06:06        all      0.00      0.00     10.87     89.13      0.00      0.00
