Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:05:54    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
17:05:55            0         0      0.00         0      0.00
17:05:56            0         0      0.00         0      0.00
17:05:57            0         0      0.00         0      0.00
17:05:58            0         0      0.00         0      0.00
17:05:59            0         0      0.00         0      0.00
17:06:00            0         0      0.00         0      0.00
17:06:01            0         0      0.00         0      0.00
17:06:02            0         0      0.00         0      0.00
17:06:03            0         0      0.00         0      0.00
17:06:04            0         0      0.00         0      0.00
17:06:05            0         0      0.00         0      0.00
17:06:06            0         0      0.00         0      0.00
