Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:04:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:04:57        all      2.20      0.00     31.87     65.93      0.00      0.00
17:04:58        all      0.00      0.00      5.62     94.38      0.00      0.00
17:04:59        all      0.00      0.00      4.49     95.51      0.00      0.00
17:05:00        all      0.00      0.00      1.14     98.86      0.00      0.00
17:05:01        all      0.00      0.00      4.35     95.65      0.00      0.00
17:05:02        all      0.00      0.00      2.22     97.78      0.00      0.00
17:05:03        all      0.00      0.00      0.00    100.00      0.00      0.00
17:05:04        all      0.00      0.00      2.20     97.80      0.00      0.00
17:05:05        all      0.00      0.00      6.59     93.41      0.00      0.00
17:05:06        all      1.09      0.00      3.26     95.65      0.00      0.00
