Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:04:56    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
17:04:57            0         0      0.00         0      0.00
17:04:58            0         0      0.00         0      0.00
17:04:59            0         0      0.00         0      0.00
17:05:00            0         0      0.00         0      0.00
17:05:01            0         0      0.00         0      0.00
17:05:02            0         0      0.00         0      0.00
17:05:03            0         0      0.00         0      0.00
17:05:04            0         0      0.00         0      0.00
17:05:05            0         0      0.00         0      0.00
17:05:06            0         0      0.00         0      0.00
