Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:07:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:07:31        all     91.92      0.00      4.04      4.04      0.00      0.00
17:07:32        all     98.00      0.00      2.00      0.00      0.00      0.00
17:07:33        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:34        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:35        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:36        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:37        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:38        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:39        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:40        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:41        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:42        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:43        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:44        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:45        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:46        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:47        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:48        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:49        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:50        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:51        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:52        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:53        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:54        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:55        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:56        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:57        all    100.00      0.00      0.00      0.00      0.00      0.00
17:07:58        all     99.00      0.00      1.00      0.00      0.00      0.00
17:07:59        all     99.00      0.00      1.00      0.00      0.00      0.00
17:08:00        all    100.00      0.00      0.00      0.00      0.00      0.00
17:08:01        all    100.00      0.00      0.00      0.00      0.00      0.00
