Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:07:30    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
17:07:31            0         0      0.00         0      0.00
17:07:32            0         0      0.00         0      0.00
17:07:33            0         0      0.00         0      0.00
17:07:34            0         0      0.00         0      0.00
17:07:35            0         0      0.00         0      0.00
17:07:36            0         0      0.00         0      0.00
17:07:37            0         0      0.00         0      0.00
17:07:38            0         0      0.00         0      0.00
17:07:39            0         0      0.00         0      0.00
17:07:40            0         0      0.00         0      0.00
17:07:41            0         0      0.00         0      0.00
17:07:42            0         0      0.00         0      0.00
17:07:43            0         0      0.00         0      0.00
17:07:44            0         0      0.00         0      0.00
17:07:45            0         0      0.00         0      0.00
17:07:46            0         0      0.00         0      0.00
17:07:47            0         0      0.00         0      0.00
17:07:48            0         0      0.00         0      0.00
17:07:49            0         0      0.00         0      0.00
17:07:50            0         0      0.00         0      0.00
17:07:51            0         0      0.00         0      0.00
17:07:52            0         0      0.00         0      0.00
17:07:53            0         0      0.00         0      0.00
17:07:54            0         0      0.00         0      0.00
17:07:55            0         0      0.00         0      0.00
17:07:56            0         0      0.00         0      0.00
17:07:57            0         0      0.00         0      0.00
17:07:58            0         0      0.00         0      0.00
17:07:59            0         0      0.00         0      0.00
17:08:00            0         0      0.00         0      0.00
17:08:01            0         0      0.00         0      0.00
